condition,range,layer,resid_post_final_token_norm
Transactional framing,30-40,21,167.750000
Transactional framing,30-40,22,195.500000
Transactional framing,30-40,23,226.875000
Transactional framing,30-40,24,265.000000
Transactional framing,30-40,25,319.750000
Transactional framing,30-40,26,365.500000
Transactional framing,30-40,27,401.000000
Transactional framing,30-40,28,462.750000
Transactional framing,30-40,29,527.000000
Transactional framing,30-40,30,602.500000
Transactional framing,30-40,31,1027.000000
Imposed affective persona,8-10,0,5.371094
Imposed affective persona,8-10,1,6.246094
Imposed affective persona,8-10,2,7.886719
Imposed affective persona,8-10,3,10.023438
Imposed affective persona,8-10,4,12.859375
Imposed affective persona,8-10,5,17.531250
Imposed affective persona,8-10,6,21.734375
Imposed affective persona,8-10,7,28.484375
Imposed affective persona,8-10,8,33.937500
Imposed affective persona,8-10,9,40.343750
Imposed affective persona,8-10,10,49.781250
Imposed affective persona,8-10,11,53.031250
Imposed affective persona,8-10,12,60.281250
Imposed affective persona,8-10,13,66.875000
Imposed affective persona,8-10,14,80.062500
Imposed affective persona,8-10,15,86.750000
Imposed affective persona,8-10,16,97.437500
Imposed affective persona,8-10,17,110.937500
Imposed affective persona,8-10,18,133.125000
Imposed affective persona,8-10,19,140.000000
Imposed affective persona,8-10,20,165.625000
Imposed affective persona,8-10,21,189.500000
Imposed affective persona,8-10,22,218.125000
Imposed affective persona,8-10,23,243.625000
Imposed affective persona,8-10,24,281.000000
Imposed affective persona,8-10,25,336.750000
Imposed affective persona,8-10,26,375.750000
Imposed affective persona,8-10,27,404.750000
Imposed affective persona,8-10,28,452.500000
Imposed affective persona,8-10,29,500.750000
Imposed affective persona,8-10,30,566.000000
Imposed affective persona,8-10,31,928.500000
Imposed affective persona,20-25,0,5.261719
Imposed affective persona,20-25,1,6.070312
Imposed affective persona,20-25,2,7.421875
Imposed affective persona,20-25,3,9.453125
Imposed affective persona,20-25,4,12.320312
Imposed affective persona,20-25,5,15.921875
Imposed affective persona,20-25,6,20.906250
Imposed affective persona,20-25,7,27.234375
Imposed affective persona,20-25,8,34.000000
Imposed affective persona,20-25,9,41.031250
Imposed affective persona,20-25,10,51.281250
Imposed affective persona,20-25,11,55.875000
Imposed affective persona,20-25,12,65.000000
